date,value1,value2,value3,value4,value5
2009-10-01,,,,1.0,
2009-11-01,,,,1.0,
2009-12-01,,,,1.0,
2010-01-01,,,,1.0,
2010-02-01,,,,1.0,
2010-03-01,,,,1.0,
2010-04-01,,,,1.0,
2010-05-01,,,,1.0,
2010-06-01,,,,1.0,
2010-07-01,,,,1.0,
2010-08-01,,,,1.0,
2010-09-01,,,,1.0,
2010-10-01,,,,1.0,
2010-11-01,,,,1.0,
2010-12-01,,,,1.0,
2011-01-01,,,,1.0,
2011-02-01,,,,1.0,
2011-03-01,,,,1.0,
2011-04-01,,,,1.0,
2011-05-01,,,,1.0,
2011-06-01,,,,1.0,
2011-07-01,,,,1.0,
2011-08-01,,,64.33757448304388,1.0,
2011-09-01,,,74.03884732482122,1.0,
2011-10-01,,,87.32934268597316,1.0,
2011-11-01,,,87.61566066164916,1.0,
2011-12-01,,,83.78980658320178,1.0,
2012-01-01,,,71.33714842202151,1.0,
2012-02-01,,,75.91450955159252,1.0,
2012-03-01,,,73.29355107577302,1.0,
2012-04-01,,,71.30609441164451,1.0,
2012-05-01,,,70.18193923599682,1.0,
2012-06-01,,,67.82798314139885,1.0,
2012-07-01,,,60.250866717429616,1.0,
2012-08-01,,,52.92212026845571,1.0,
2012-09-01,,,39.63584825271505,1.0,
2012-10-01,,,39.5067877855882,1.0,
2012-11-01,,,35.84241456110125,1.0,
2012-12-01,,,22.86183822351186,1.0,
2013-01-01,,,35.515808174518284,1.0,
2013-02-01,,,46.075494307968846,1.0,
2013-03-01,,,64.61356932026557,1.0,
2013-04-01,,,64.0802172568663,1.0,
2013-05-01,,,43.258091647519265,1.0,
2013-06-01,,,36.79382360736324,1.0,
2013-07-01,,,53.008736099130275,1.0,
2013-08-01,,,28.397382978723407,1.0,
2013-09-01,,,14.55039412529555,1.0,
2013-10-01,,,48.051677452533816,1.0,
2013-11-01,,,82.60408027865319,1.0,
2013-12-01,,,62.26571570741416,1.0,
2014-01-01,,,39.749543871288765,1.0,
2014-02-01,,,66.82700281970476,1.0,
2014-03-01,,,63.833139824183114,1.0,
2014-04-01,,,71.80295239674905,1.0,
2014-05-01,,,65.21811245646045,1.0,
2014-06-01,,,56.6967988057721,1.0,
2014-07-01,,,53.43589318294908,1.0,
2014-08-01,,,63.26090562282302,1.0,
2014-09-01,,,69.72964007298059,1.0,
2014-10-01,,,77.19356443854703,0.0,
2014-11-01,,,73.8314811743241,1.0,
2014-12-01,,,74.92784873113287,1.0,
2015-01-01,,,86.19588654834965,0.0,
2015-02-01,,,82.57422458119092,0.0,
2015-03-01,,,80.45281141151102,0.0,
2015-04-01,,,82.2590811079781,0.0,
2015-05-01,,,81.22242494609388,0.0,
2015-06-01,,,81.77890197379332,0.0,
2015-07-01,,,79.0918892021894,0.0,
2015-08-01,,,86.56493614198043,0.0,
2015-09-01,,,81.40238845579698,0.0,
2015-10-01,,,70.66764362534462,1.0,
2015-11-01,,,62.70832815876407,1.0,
2015-12-01,,,45.98386366828446,1.0,
2016-01-01,,,44.98977824248193,1.0,
2016-02-01,,,43.31528269791975,1.0,
2016-03-01,,,39.293684358370136,1.0,
2016-04-01,,,35.70436492454626,1.0,
2016-05-01,,,25.344827586206897,1.0,
2016-06-01,,,22.05097828812786,1.0,
2016-07-01,,,9.233517409607039,1.0,
2016-08-01,,,29.91508579601392,1.0,
2016-09-01,,,15.416344514584102,1.0,
2016-10-01,,,13.006260975878064,1.0,
2016-11-01,,,9.382135385585306,1.0,
2016-12-01,,,23.61895781970131,1.0,
2017-01-01,,,22.868739485839853,1.0,
2017-02-01,,,21.72710643097013,1.0,
2017-03-01,,,25.330285267846826,1.0,
2017-04-01,,,21.499889778229385,1.0,
2017-05-01,,,41.38070409573671,1.0,
2017-06-01,,,15.444908157353785,1.0,
2017-07-01,,,37.19771733091521,1.0,
2017-08-01,,,44.43030327014655,1.0,
2017-09-01,,,37.221997968525336,1.0,
2017-10-01,,,35.601294817005005,1.0,
2017-11-01,,,44.87411084585604,1.0,
2017-12-01,,,32.14241676775579,1.0,
2018-01-01,,,34.15871499239739,1.0,
2018-02-01,,,57.56316142572294,1.0,
2018-03-01,,,52.658069396069976,1.0,
2018-04-01,,,53.61381837151319,1.0,
2018-05-01,,,49.25261852178332,1.0,
2018-06-01,,,58.64259344496069,1.0,
2018-07-01,,,56.26665855433585,1.0,
2018-08-01,,,57.59747082486024,1.0,
2018-09-01,,,55.540220930209536,1.0,
2018-10-01,,,56.427585116921065,1.0,
2018-11-01,,,75.050064541632,0.0,
2018-12-01,,,77.50259255572442,0.0,
2019-01-01,,,76.01517389879159,0.0,
2019-02-01,,,75.99072890192463,0.0,
2019-03-01,,,73.5599997767909,1.0,
2019-04-01,,,70.82390619889479,1.0,
2019-05-01,,,62.07623346880086,1.0,
2019-06-01,,,46.49161192793442,1.0,
2019-07-01,,,34.668963800343775,1.0,
2019-08-01,,,32.96557233603986,1.0,
2019-09-01,,,44.6005808116855,1.0,
2019-10-01,,,47.49684492133589,1.0,
2019-11-01,,,39.35349558783125,1.0,
2019-12-01,,,40.21203328896602,1.0,
2020-01-01,,,36.24263883071136,1.0,
2020-02-01,,,21.618185731825882,1.0,
2020-03-01,,,63.91800864999864,1.0,
2020-04-01,,,42.78992442060211,1.0,
2020-05-01,,,24.813027346101766,1.0,
2020-06-01,,,17.982987313242365,1.0,
2020-07-01,,,21.52606782626425,1.0,
2020-08-01,,,9.3311103995855,1.0,
2020-09-01,,,15.61976252153431,1.0,
2020-10-01,,,24.861991671889378,1.0,
2020-11-01,,,32.92928196193316,1.0,
2020-12-01,,,39.35427681814147,1.0,
2021-01-01,,,16.287988233701874,1.0,
2021-02-01,,,28.538811069475123,1.0,
2021-03-01,,,23.393820249993382,1.0,
2021-04-01,,,20.038221286134416,1.0,
2021-05-01,,,49.5834166409338,1.0,
2021-06-01,,,51.09226575780803,1.0,
2021-07-01,,,50.17664046095162,1.0,
2021-08-01,,,36.52915037473325,1.0,
2021-09-01,,,32.66979378806938,1.0,
2021-10-01,,,29.438759287149775,1.0,
2021-11-01,,,12.839837523059469,1.0,
2021-12-01,,,32.14979131364754,1.0,
2022-01-01,,,46.229099787589575,1.0,
2022-02-01,,,44.050495431456525,1.0,
2022-03-01,,,39.425854616614096,1.0,
2022-04-01,,,38.726365408833416,1.0,
2022-05-01,,,58.65938759368638,1.0,
2022-06-01,,,71.33965246050083,0.0,
2022-07-01,,,69.42737195031816,0.0,
2022-08-01,,,68.18266937624546,0.0,
2022-09-01,,,70.41585537120648,0.0,
2022-10-01,,,70.40187178024966,0.0,
2022-11-01,,,74.78100115666136,0.0,
2022-12-01,,,73.48223847629056,0.0,
2023-01-01,,,73.12256030749558,0.0,
2023-02-01,,,65.17093310155559,1.0,
2023-03-01,,,68.12236717748061,0.0,
2023-04-01,,,56.04003935614853,1.0,
2023-05-01,,,57.912976756110034,1.0,
2023-06-01,,,59.6292588224154,1.0,
2023-07-01,,,52.941467915237276,1.0,
2023-08-01,,,58.8422173411848,1.0,
2023-09-01,,,56.29958292941441,1.0,
2023-10-01,,,42.5446298302261,1.0,
2023-11-01,,,25.092406866091526,1.0,
2023-12-01,,,17.35990486507763,1.0,
2024-01-01,,,15.381932272158974,1.0,
2024-02-01,,,31.551999984305006,1.0,
2024-03-01,,,17.031189270769705,1.0,
2024-04-01,,,17.072327409104897,1.0,
2024-05-01,,,20.749143165769024,1.0,
2024-06-01,,,18.020523640548568,1.0,
2024-07-01,,,25.045512746092708,1.0,
2024-08-01,,,30.991964742904855,1.0,
2024-09-01,,,26.248249455838046,1.0,
2024-10-01,,,17.42860556012645,1.0,
2024-11-01,,,30.728122213098775,1.0,
2024-12-01,,,5.473317223491456,1.0,
2025-01-01,,,12.888194482548279,1.0,
2025-02-01,,,23.553490257537195,1.0,
2025-03-01,,,25.112946256581182,1.0,
2025-04-01,,,27.321131733499758,1.0,
2025-05-01,,,10.705110876877761,1.0,
2025-06-01,,,8.257396882253818,1.0,
2025-07-01,,,9.19760892890356,1.0,
2025-08-01,,,7.2515133727527745,1.0,
2025-09-01,,,7.360803641385619,1.0,
2025-10-01,,,10.539486538654488,1.0,
2025-11-01,,,30.386744386493625,1.0,
2025-12-01,,,27.579157947708875,1.0,
2026-01-01,,,24.696181342578754,1.0,
